INFO:root:File download successful
INFO:root:Creating folder
INFO:root:Bhavdata file copied from the dowloads folder
INFO:root:Create record 143 :Symbol-ASAL, Date-2020-11-12, Series-EQ
INFO:root:Create record 144 :Symbol-ASALCBR, Date-2020-11-12, Series-EQ
INFO:root:Create record 145 :Symbol-ASHAPURMIN, Date-2020-11-12, Series-EQ
INFO:root:Create record 146 :Symbol-ASHIANA, Date-2020-11-12, Series-EQ
INFO:root:Create record 147 :Symbol-ASHIMASYN, Date-2020-11-12, Series-EQ
INFO:root:Create record 148 :Symbol-ASHOKA, Date-2020-11-12, Series-EQ
INFO:root:Create record 149 :Symbol-ASHOKLEY, Date-2020-11-12, Series-EQ
INFO:root:Create record 150 :Symbol-ASIANHOTNR, Date-2020-11-12, Series-EQ
INFO:root:Create record 151 :Symbol-ASIANPAINT, Date-2020-11-12, Series-EQ
INFO:root:Create record 152 :Symbol-ASIANTILES, Date-2020-11-12, Series-EQ
INFO:root:Create record 153 :Symbol-ASLIND, Date-2020-11-12, Series-SM
INFO:root:Create record 154 :Symbol-ASPINWALL, Date-2020-11-12, Series-EQ
INFO:root:Create record 155 :Symbol-ASTEC, Date-2020-11-12, Series-EQ
INFO:root:Create record 156 :Symbol-ASTERDM, Date-2020-11-12, Series-EQ
INFO:root:Create record 157 :Symbol-ASTRAL, Date-2020-11-12, Series-EQ
INFO:root:Create record 158 :Symbol-ASTRAMICRO, Date-2020-11-12, Series-EQ
INFO:root:Create record 159 :Symbol-ASTRAZEN, Date-2020-11-12, Series-EQ
INFO:root:Create record 160 :Symbol-ASTRON, Date-2020-11-12, Series-EQ
INFO:root:Create record 161 :Symbol-ATFL, Date-2020-11-12, Series-EQ
INFO:root:Create record 162 :Symbol-ATLANTA, Date-2020-11-12, Series-EQ
INFO:root:Create record 163 :Symbol-ATLASCYCLE, Date-2020-11-12, Series-BE
INFO:root:Create record 164 :Symbol-ATUL, Date-2020-11-12, Series-EQ
INFO:root:Create record 165 :Symbol-ATULAUTO, Date-2020-11-12, Series-EQ
INFO:root:Create record 166 :Symbol-AUBANK, Date-2020-11-12, Series-EQ
INFO:root:Create record 167 :Symbol-AURIONPRO, Date-2020-11-12, Series-EQ
INFO:root:Create record 168 :Symbol-AUROPHARMA, Date-2020-11-12, Series-EQ
INFO:root:Create record 169 :Symbol-AUSOMENT, Date-2020-11-12, Series-EQ
INFO:root:Create record 170 :Symbol-AUTOAXLES, Date-2020-11-12, Series-EQ
INFO:root:Create record 171 :Symbol-AUTOIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 172 :Symbol-AUTOLITIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 173 :Symbol-AVADHSUGAR, Date-2020-11-12, Series-EQ
INFO:root:Create record 174 :Symbol-AVANTIFEED, Date-2020-11-12, Series-EQ
INFO:root:Create record 175 :Symbol-AVG, Date-2020-11-12, Series-SM
INFO:root:Create record 176 :Symbol-AVSL, Date-2020-11-12, Series-SM
INFO:root:Create record 177 :Symbol-AVTNPL, Date-2020-11-12, Series-EQ
INFO:root:Create record 178 :Symbol-AXISBANK, Date-2020-11-12, Series-EQ
INFO:root:Create record 179 :Symbol-AXISBNKETF, Date-2020-11-12, Series-EQ
INFO:root:Create record 180 :Symbol-AXISCADES, Date-2020-11-12, Series-EQ
INFO:root:Create record 181 :Symbol-AXISGOLD, Date-2020-11-12, Series-EQ
INFO:root:Create record 182 :Symbol-AXISNIFTY, Date-2020-11-12, Series-EQ
INFO:root:Create record 183 :Symbol-AYMSYNTEX, Date-2020-11-12, Series-EQ
INFO:root:Create record 184 :Symbol-BAFNAPH, Date-2020-11-12, Series-BE
INFO:root:Create record 185 :Symbol-BAGFILMS, Date-2020-11-12, Series-EQ
INFO:root:Create record 186 :Symbol-BAJAJ-AUTO, Date-2020-11-12, Series-EQ
INFO:root:Create record 187 :Symbol-BAJAJCON, Date-2020-11-12, Series-EQ
INFO:root:Create record 188 :Symbol-BAJAJELEC, Date-2020-11-12, Series-EQ
INFO:root:Create record 189 :Symbol-BAJAJFINSV, Date-2020-11-12, Series-EQ
INFO:root:Create record 190 :Symbol-BAJAJHIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 191 :Symbol-BAJAJHLDNG, Date-2020-11-12, Series-EQ
INFO:root:Create record 192 :Symbol-BAJFINANCE, Date-2020-11-12, Series-EQ
INFO:root:Create record 193 :Symbol-BALAJITELE, Date-2020-11-12, Series-EQ
INFO:root:Create record 194 :Symbol-BALAMINES, Date-2020-11-12, Series-EQ
INFO:root:Create record 195 :Symbol-BALAXI, Date-2020-11-12, Series-EQ
INFO:root:Create record 196 :Symbol-BALKRISHNA, Date-2020-11-12, Series-EQ
INFO:root:Create record 197 :Symbol-BALKRISIND, Date-2020-11-12, Series-EQ
INFO:root:Create record 198 :Symbol-BALLARPUR, Date-2020-11-12, Series-EQ
INFO:root:Create record 199 :Symbol-BALMLAWRIE, Date-2020-11-12, Series-EQ
INFO:root:Create record 200 :Symbol-BALPHARMA, Date-2020-11-12, Series-BE
INFO:root:Create record 201 :Symbol-BALRAMCHIN, Date-2020-11-12, Series-EQ
INFO:root:Create record 202 :Symbol-BANARBEADS, Date-2020-11-12, Series-EQ
INFO:root:Create record 203 :Symbol-BANARISUG, Date-2020-11-12, Series-EQ
INFO:root:Create record 204 :Symbol-BANCOINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 205 :Symbol-BANDHANBNK, Date-2020-11-12, Series-EQ
INFO:root:Create record 206 :Symbol-BANG, Date-2020-11-12, Series-EQ
INFO:root:Create record 207 :Symbol-BANKA, Date-2020-11-12, Series-EQ
INFO:root:Create record 208 :Symbol-BANKBARODA, Date-2020-11-12, Series-EQ
INFO:root:Create record 209 :Symbol-BANKBEES, Date-2020-11-12, Series-EQ
INFO:root:Create record 210 :Symbol-BANKINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 211 :Symbol-BANSWRAS, Date-2020-11-12, Series-EQ
INFO:root:Create record 212 :Symbol-BARTRONICS, Date-2020-11-12, Series-BZ
INFO:root:Create record 213 :Symbol-BASF, Date-2020-11-12, Series-EQ
INFO:root:Create record 214 :Symbol-BASML, Date-2020-11-12, Series-EQ
INFO:root:Create record 215 :Symbol-BATAINDIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 216 :Symbol-BAYERCROP, Date-2020-11-12, Series-EQ
INFO:root:Create record 217 :Symbol-BBL, Date-2020-11-12, Series-EQ
INFO:root:Create record 218 :Symbol-BBTC, Date-2020-11-12, Series-EQ
INFO:root:Create record 219 :Symbol-BCG, Date-2020-11-12, Series-EQ
INFO:root:Create record 220 :Symbol-BCONCEPTS, Date-2020-11-12, Series-SM
INFO:root:Create record 221 :Symbol-BCP, Date-2020-11-12, Series-EQ
INFO:root:Create record 222 :Symbol-BDL, Date-2020-11-12, Series-EQ
INFO:root:Create record 223 :Symbol-BEARDSELL, Date-2020-11-12, Series-EQ
INFO:root:Create record 224 :Symbol-BEDMUTHA, Date-2020-11-12, Series-EQ
INFO:root:Create record 225 :Symbol-BEL, Date-2020-11-12, Series-EQ
INFO:root:Create record 226 :Symbol-BEML, Date-2020-11-12, Series-EQ
INFO:root:Create record 227 :Symbol-BEPL, Date-2020-11-12, Series-EQ
INFO:root:Create record 228 :Symbol-BERGEPAINT, Date-2020-11-12, Series-EQ
INFO:root:Create record 229 :Symbol-BETA, Date-2020-11-12, Series-SM
INFO:root:Create record 230 :Symbol-BFINVEST, Date-2020-11-12, Series-EQ
INFO:root:Create record 231 :Symbol-BFUTILITIE, Date-2020-11-12, Series-EQ
INFO:root:Create record 232 :Symbol-BGRENERGY, Date-2020-11-12, Series-EQ
INFO:root:Create record 233 :Symbol-BHAGERIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 234 :Symbol-BHAGYANGR, Date-2020-11-12, Series-EQ
INFO:root:Create record 235 :Symbol-BHAGYAPROP, Date-2020-11-12, Series-EQ
INFO:root:Create record 236 :Symbol-BHANDARI, Date-2020-11-12, Series-EQ
INFO:root:Create record 237 :Symbol-BHARATFORG, Date-2020-11-12, Series-EQ
INFO:root:Create record 238 :Symbol-BHARATGEAR, Date-2020-11-12, Series-EQ
INFO:root:Create record 239 :Symbol-BHARATRAS, Date-2020-11-12, Series-EQ
INFO:root:Create record 240 :Symbol-BHARATWIRE, Date-2020-11-12, Series-EQ
INFO:root:Create record 241 :Symbol-BHARTIARTL, Date-2020-11-12, Series-EQ
INFO:root:Create record 242 :Symbol-BHEL, Date-2020-11-12, Series-EQ
INFO:root:Create record 243 :Symbol-BIGBLOC, Date-2020-11-12, Series-BE
INFO:root:Create record 244 :Symbol-BIL, Date-2020-11-12, Series-EQ
INFO:root:Create record 245 :Symbol-BILENERGY, Date-2020-11-12, Series-EQ
INFO:root:Create record 246 :Symbol-BINDALAGRO, Date-2020-11-12, Series-EQ
INFO:root:Create record 247 :Symbol-BIOCON, Date-2020-11-12, Series-EQ
INFO:root:Create record 248 :Symbol-BIOFILCHEM, Date-2020-11-12, Series-BE
INFO:root:Create record 249 :Symbol-BIRLACABLE, Date-2020-11-12, Series-EQ
INFO:root:Create record 250 :Symbol-BIRLACORPN, Date-2020-11-12, Series-EQ
INFO:root:Create record 251 :Symbol-BIRLAMONEY, Date-2020-11-12, Series-EQ
INFO:root:Create record 252 :Symbol-BIRLATYRE, Date-2020-11-12, Series-EQ
INFO:root:Create record 253 :Symbol-BLBLIMITED, Date-2020-11-12, Series-EQ
INFO:root:Create record 254 :Symbol-BLISSGVS, Date-2020-11-12, Series-EQ
INFO:root:Create record 255 :Symbol-BLKASHYAP, Date-2020-11-12, Series-EQ
INFO:root:Create record 256 :Symbol-BLS, Date-2020-11-12, Series-EQ
INFO:root:Create record 257 :Symbol-BLUECOAST, Date-2020-11-12, Series-EQ
INFO:root:Create record 258 :Symbol-BLUEDART, Date-2020-11-12, Series-EQ
INFO:root:Create record 259 :Symbol-BLUESTARCO, Date-2020-11-12, Series-EQ
INFO:root:Create record 260 :Symbol-BODALCHEM, Date-2020-11-12, Series-EQ
INFO:root:Create record 261 :Symbol-BOMDYEING, Date-2020-11-12, Series-EQ
INFO:root:Create record 262 :Symbol-BOROLTD, Date-2020-11-12, Series-BE
INFO:root:Create record 263 :Symbol-BORORENEW, Date-2020-11-12, Series-EQ
INFO:root:Create record 264 :Symbol-BOSCHLTD, Date-2020-11-12, Series-EQ
INFO:root:Create record 265 :Symbol-BPCL, Date-2020-11-12, Series-EQ
INFO:root:Create record 266 :Symbol-BPL, Date-2020-11-12, Series-EQ
INFO:root:Create record 267 :Symbol-BRFL, Date-2020-11-12, Series-EQ
INFO:root:Create record 268 :Symbol-BRIGADE, Date-2020-11-12, Series-EQ
INFO:root:Create record 269 :Symbol-BRIGHT, Date-2020-11-12, Series-SM
INFO:root:Create record 270 :Symbol-BRITANNIA, Date-2020-11-12, Series-EQ
INFO:root:Create record 271 :Symbol-BRITANNIA, Date-2020-11-12, Series-N2
INFO:root:Create record 272 :Symbol-BRNL, Date-2020-11-12, Series-EQ
INFO:root:Create record 273 :Symbol-BROOKS, Date-2020-11-12, Series-EQ
INFO:root:Create record 274 :Symbol-BSE, Date-2020-11-12, Series-EQ
INFO:root:Create record 275 :Symbol-BSELINFRA, Date-2020-11-12, Series-EQ
INFO:root:Create record 276 :Symbol-BSHSL, Date-2020-11-12, Series-EQ
INFO:root:Create record 277 :Symbol-BSL, Date-2020-11-12, Series-BE
INFO:root:Create record 278 :Symbol-BSLGOLDETF, Date-2020-11-12, Series-EQ
INFO:root:Create record 279 :Symbol-BSLNIFTY, Date-2020-11-12, Series-EQ
INFO:root:Create record 280 :Symbol-BSOFT, Date-2020-11-12, Series-EQ
