,Index,Date,Open,High,Low,Close,Shares Traded,Turnover
118,NIFTY100,20191127,12183.0,12230.6,12172.0,12217.5,1172561401,26171.33
119,NIFTY100,20191128,12246.75,12286.6,12216.35,12278.45,1570598065,31990.22
120,NIFTY100,20191129,12275.95,12277.3,12145.6,12182.6,1603807228,33353.36
121,NIFTY100,20191202,12255.4,12255.5,12147.7,12175.15,2434824538,31179.78
122,NIFTY100,20191203,12196.15,12196.9,12079.15,12115.8,1560648131,25010.67
123,NIFTY100,20191204,12089.25,12172.05,12057.65,12160.85,1670720452,28674.99
124,NIFTY100,20191205,12183.9,12190.8,12106.9,12126.5,1070921388,25178.73
125,NIFTY100,20191206,12156.15,12166.05,11990.3,12024.95,1338642525,24301.57
126,NIFTY100,20191209,12041.25,12082.25,11987.3,12033.3,1115320862,22113.41
127,NIFTY100,20191210,12046.4,12049.35,11935.0,11945.8,1222345671,22636.14
128,NIFTY100,20191211,11957.75,12013.3,11918.95,11999.95,1415176257,24354.6
129,NIFTY100,20191212,12037.95,12099.05,12026.4,12065.85,1061800238,23746.77
130,NIFTY100,20191213,12120.15,12194.6,12118.25,12182.7,1131609701,27441.01
131,NIFTY100,20191216,12222.85,12226.0,12137.4,12144.85,773530469,21280.81
132,NIFTY100,20191217,12173.4,12266.15,12160.9,12248.95,972559023,25946.58
133,NIFTY100,20191218,12280.05,12319.2,12240.75,12304.25,1029683849,27688.75
134,NIFTY100,20191219,12306.7,12352.65,12280.35,12343.85,1007227537,24519.89
135,NIFTY100,20191220,12351.9,12378.8,12340.05,12363.4,1203286549,33221.72
136,NIFTY100,20191223,12330.35,12381.4,12304.4,12354.95,902079631,22567.18
137,NIFTY100,20191224,12362.25,12375.0,12300.3,12312.1,725662777,17944.63
138,NIFTY100,20191226,12311.25,12319.55,12221.65,12229.15,865726853,20886.92
139,NIFTY100,20191227,12273.95,12355.65,12259.35,12344.6,711181375,18475.38
140,NIFTY100,20191230,12373.05,12387.3,12313.1,12354.25,710778770,18112.89
141,NIFTY100,20191231,12347.25,12347.25,12252.55,12267.75,753781413,19123.69
142,NIFTY100,20200101,12299.85,12320.75,12263.2,12279.05,446251194,12946.17
143,NIFTY100,20200102,12294.95,12387.65,12292.2,12380.5,645781490,19429.69
144,NIFTY100,20200103,12359.7,12368.6,12292.4,12328.6,671669795,21761.81
145,NIFTY100,20200106,12270.25,12278.25,12070.75,12090.6,652762014,21896.93
146,NIFTY100,20200107,12174.65,12255.75,12106.3,12154.95,736051577,23115.45
147,NIFTY100,20200108,12034.4,12145.0,12026.8,12131.45,948960796,22902.66
148,NIFTY100,20200109,12259.55,12328.25,12241.75,12319.7,1053400858,24027.71
149,NIFTY100,20200110,12372.0,12412.95,12316.6,12359.7,939484313,24092.51
150,NIFTY100,20200113,12401.15,12442.55,12391.5,12436.45,783662824,22316.59
151,NIFTY100,20200114,12442.6,12480.45,12417.7,12468.55,838396839,23098.0
152,NIFTY100,20200115,12458.3,12470.35,12392.55,12458.85,974972459,23105.34
153,NIFTY100,20200116,12468.6,12506.4,12431.5,12470.6,732714264,20716.27
154,NIFTY100,20200117,12445.75,12500.95,12439.15,12471.15,1709289047,26290.92
155,NIFTY100,20200120,12544.4,12544.4,12335.1,12343.2,1063748617,26310.52
156,NIFTY100,20200121,12314.45,12349.4,12279.5,12287.25,1256487056,23778.92
157,NIFTY100,20200122,12335.1,12341.1,12213.65,12230.85,1078861020,25914.85
158,NIFTY100,20200123,12248.2,12321.4,12220.7,12312.9,1699254365,31059.04
159,NIFTY100,20200124,12307.25,12410.8,12282.7,12386.95,937241490,23456.53
160,NIFTY100,20200127,12336.75,12363.15,12249.45,12262.65,750304421,22836.18
161,NIFTY100,20200128,12292.4,12311.0,12175.8,12203.2,912989710,27636.91
162,NIFTY100,20200129,12262.75,12312.6,12251.3,12276.95,863864153,25719.49
163,NIFTY100,20200130,12295.1,12297.3,12144.25,12165.4,964503298,25784.58
164,NIFTY100,20200131,12228.95,12232.5,12071.0,12086.9,1147901344,32201.52
165,NIFTY100,20200201,12066.05,12153.85,11738.45,11768.9,861850212,26736.34
166,NIFTY100,20200203,11736.6,11864.3,11719.25,11820.3,1031833247,32677.02
167,NIFTY100,20200204,11900.05,12099.35,11898.9,12091.0,902955660,30502.95
168,NIFTY100,20200205,12121.05,12219.95,12071.9,12212.0,1096111366,29749.51
169,NIFTY100,20200206,12243.95,12295.2,12211.6,12273.7,1013558973,32846.86
170,NIFTY100,20200207,12286.85,12290.15,12223.7,12249.25,839983098,24798.34
171,NIFTY100,20200210,12253.95,12254.95,12144.05,12185.35,828817060,23141.45
172,NIFTY100,20200211,12260.2,12317.7,12237.8,12246.2,827144568,23461.08
173,NIFTY100,20200212,12288.15,12362.0,12282.2,12327.7,932387054,24460.49
174,NIFTY100,20200213,12342.25,12347.1,12266.25,12301.75,794527828,22112.85
175,NIFTY100,20200214,12314.25,12369.4,12210.05,12230.45,2214334346,27360.17
176,NIFTY100,20200217,12247.2,12271.7,12143.5,12152.0,1434093320,20180.71
177,NIFTY100,20200218,12133.6,12134.45,12009.55,12098.9,1524574950,24093.02
178,NIFTY100,20200219,12197.9,12256.2,12155.25,12248.2,1718114837,24625.16
179,NIFTY100,20200220,12242.25,12288.9,12202.75,12211.3,1724531604,27469.65
180,NIFTY100,20200224,12140.45,12140.45,11939.55,11957.0,1395035167,26193.74
181,NIFTY100,20200225,12007.3,12018.45,11900.6,11917.3,1278186416,25453.59
182,NIFTY100,20200226,11859.1,11902.15,11756.65,11790.1,1104078933,28427.31
183,NIFTY100,20200227,11773.95,11776.1,11646.05,11746.85,1244139818,28322.9
184,NIFTY100,20200228,11495.6,11497.9,11288.4,11316.3,1546581871,42627.48
185,NIFTY100,20200302,11500.85,11560.15,11153.65,11251.55,1249491066,32933.97
186,NIFTY100,20200303,11337.45,11471.1,11279.55,11430.85,1279395761,30668.35
187,NIFTY100,20200304,11481.55,11485.5,11205.95,11372.85,1274895204,34539.84
188,NIFTY100,20200305,11430.1,11515.55,11371.5,11397.9,1954755189,33959.11
189,NIFTY100,20200306,11061.85,11163.0,10957.4,11119.65,2394161843,33293.23
